prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250807_next_day_U-Haul_Holding_Compa_0,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,0,basic_stochastic,2,0.8571428571428572,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_1,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,1,basic_stochastic,1,1.0,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_2,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,2,basic_stochastic,8,0.0,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_3,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,3,basic_stochastic,3,0.7142857142857143,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_4,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,4,basic_stochastic,4,0.5714285714285714,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_5,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,5,basic_stochastic,7,0.1428571428571429,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_6,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,6,basic_stochastic,5,0.4285714285714286,20250807,evaluated
20250807_next_day_U-Haul_Holding_Compa_7,U-Haul Holding Company (UHAL) Q1 2026 Earnings Call Transcript,7,basic_stochastic,6,0.2857142857142857,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_0,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,0,basic_stochastic,2,0.8571428571428572,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_1,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,1,basic_stochastic,1,1.0,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_2,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,2,basic_stochastic,5,0.4285714285714286,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_3,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,3,basic_stochastic,8,0.0,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_4,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,4,basic_stochastic,3,0.7142857142857143,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_5,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,5,basic_stochastic,7,0.1428571428571429,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_6,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,6,basic_stochastic,4,0.5714285714285714,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_2_7,Harbour Energy plc 2025 Q2 - Results - Earnings Call Presentation,7,basic_stochastic,6,0.2857142857142857,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_0,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,0,basic_stochastic,4,0.5714285714285714,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_1,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,1,basic_stochastic,1,1.0,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_2,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,2,basic_stochastic,2,0.8571428571428572,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_3,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,3,basic_stochastic,8,0.0,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_4,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,4,basic_stochastic,6,0.2857142857142857,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_5,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,5,basic_stochastic,5,0.4285714285714286,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_6,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,6,basic_stochastic,3,0.7142857142857143,20250807,evaluated
20250807_next_day_Harbour_Energy_plc_(_7,Harbour Energy plc (PMOIF) Q2 2025 Earnings Call Transcript,7,basic_stochastic,7,0.1428571428571429,20250807,evaluated
20250807_next_day_Political_bias_vs._T_0,Political bias vs. Trump? Here’s how the U.S. jobs report is really put together.,0,basic_stochastic,3,0.7142857142857143,20250807,evaluated
20250807_next_day_Political_bias_vs._T_1,Political bias vs. Trump? Here’s how the U.S. jobs report is really put together.,1,basic_stochastic,6,0.2857142857142857,20250807,evaluated
20250807_next_day_Political_bias_vs._T_2,Political bias vs. Trump? Here’s how the U.S. jobs report is really put together.,2,basic_stochastic,2,0.8571428571428572,20250807,evaluated
20250807_next_day_Political_bias_vs._T_3,Political bias vs. Trump? Here’s how the U.S. jobs report is really put together.,3,basic_stochastic,8,0.0,20250807,evaluated
20250807_next_day_Political_bias_vs._T_4,Political bias vs. Trump? Here’s how the U.S. jobs report is really put together.,4,basic_stochastic,5,0.4285714285714286,20250807,evaluated
